,PNe number,Ra (J2000),Dec (J2000),m 5007,m 5007 error,M 5007,[OIII] Flux,M 5007 error,A/rN,sep_peak,PNe_LOS_V,redchi,ID,Chi2,fitted_mean_wave,Flux error up,Flux error lo,mag error up,mag error lo
0,0,03h36m06.49s,-35d27m10.14s,28.027171280097697,,-3.2718324557702623,1.963974437888752e-17,,5.395444858040082,7.675416946411133,1272.9119053129086,1.002851794963976,PN,15102.948032157477,5028.028630662962,8.460670463947121e-19,8.666039416905011e-19,0.049103030650389456,0.04588797619098628
1,1,03h36m07.17s,-35d27m08.74s,28.260491633388632,,-3.038512102479327,1.584191539627866e-17,,5.767513093652587,6.145822048187256,1188.4384761874785,1.0014556132981582,PN,15081.921536270263,5026.617857911827,6.778997912108824e-19,6.784089158652801e-19,0.04763610425600007,0.0456001071051233
2,2,03h36m06.86s,-35d27m06.46s,27.793971719329015,,-3.5050320165389444,2.4345329409623968e-17,,7.782140237556595,9.246280670166016,1290.6311365975434,1.0018840715936275,PN,15088.374118200029,5028.324555771322,7.870209580595023e-19,8.157181898026161e-19,0.03707354792612705,0.034608015819479476
3,3,03h36m07.39s,-35d27m05.97s,28.11247159736253,,-3.186532138505431,1.8155813127265958e-17,,6.746964977936159,7.942384719848633,1215.5221977036608,1.0014460255975732,PN,15081.777145499454,5027.070177377367,6.546963334363057e-19,6.704162347969579e-19,0.04094069501772424,0.03854398269538706
4,4,03h36m07.13s,-35d27m05.12s,27.43255000531569,,-3.8664537305522693,3.396130270963016e-17,,12.78301234729134,12.519668579101562,1234.117580743628,1.0007367890693444,PN,15071.096043384327,5027.380734909615,7.812258976603411e-19,8.451677006925672e-19,0.027399930780930504,0.024726354325213862
5,5,03h36m07.01s,-35d27m01.83s,27.99885996178844,,-3.300143774079519,2.0158599575932296e-17,,7.01612262044831,8.807239532470703,1335.902058520507,1.000480062375081,PN,15067.229739368719,5029.080615797876,6.825013216425191e-19,6.991819052018359e-19,0.03840435639645179,0.036221885994287106
6,6,03h36m06.58s,-35d27m00.97s,27.931028731229176,,-3.367975004638783,2.1458178343035314e-17,,7.264968795555785,7.239588737487793,1357.9073244301771,1.0008414616087233,PN,15072.672411827374,5029.448121057793,7.3137322800162775e-19,7.600852062775917e-19,0.03923454773566348,0.036459428653667914
7,7,03h36m07.23s,-35d26m59.39s,28.48663465488295,,-2.812369080985011,1.2863243208063817e-17,,4.684444417149354,5.642976760864258,1324.7929278904621,1.0005389066310075,PN,15068.115933862975,5028.895084572922,6.529968184234183e-19,6.432063366345645e-19,0.0558682796876937,0.053922639743618106
8,8,03h36m06.81s,-35d26m58.67s,28.558144376298046,,-2.7408593595699138,1.204333016090127e-17,,4.333893845473529,6.89490270614624,1301.3914365374155,1.000942364024111,PN,15074.192002203114,5028.5042612492025,6.6572742751420215e-19,6.59561302450414e-19,0.06131206836067804,0.05856220900704301
9,9,03h36m06.43s,-35d26m58.45s,27.92223524090511,,-3.3767684949628496,2.163267604246097e-17,,7.003012483641703,9.950638771057129,1164.013916024559,1.0010984377456575,PN,15076.542472449602,5026.209948533777,7.345459500296007e-19,7.597925466950984e-19,0.038899561684552,0.03632673443005885
