,Galaxy,lit PNLF N,lit Lbol,lit alpha2.5,lit alpha2.5 err up,lit alpha2.5 err lo,lit Lbol err p,lit Lbol err m,lit log alpha2.5,lit log alpha2.5 err up,lit log alpha2.5 err lo
0,FCC083,133.60459977756193,6876429537.611054,1.9429356331916636e-08,5.4191567865220506e-09,4.8240771596268145e-09,1701115304.4581633,1363746822.8771925,-7.711541586745928,0.12104950906104268,0.10775701734590126
1,FCC143,40.29620492023307,800333267.0,5.034928145781184e-08,1.6797502061191827e-08,1.8073367928929863e-08,197989256.0,158723643.0,-7.2980067229481795,0.1447908626196724,0.15578855256808366
2,FCC147,213.12032465154073,12257248298.371807,1.7387289501172184e-08,4.7780066009668636e-09,4.191909963717114e-09,3032241158.999552,2430881220.0711346,-7.7597681147444115,0.11926268695760894,0.10463326811982844
3,FCC153,85.46943600681628,4138455748.914128,2.0652494841642864e-08,6.092586867184321e-09,5.740106440785161e-09,1023785726.7052884,820746558.709043,-7.685027477638942,0.12803212012073095,0.12062495182313719
4,FCC161,189.2127840601413,8232114742.741464,2.298471170205404e-08,6.101474625862371e-09,5.180678109757553e-09,2036489474.7105265,1632608938.1952982,-7.638560939248555,0.11520875362502918,0.09782216669847754
5,FCC167,328.7086835807418,18847932216.411037,1.74400395654295e-08,3.0770395392968824e-09,2.918218887542783e-09,2792389415.5890007,2432069509.956829,-7.758452534138073,0.07657294325765246,0.0726206493077057
6,FCC170,165.29986733944912,12606133612.697449,1.3112653920544827e-08,4.410365248144214e-09,3.954452472851185e-09,3708672085.6184807,2865618917.043785,-7.882309400880297,0.14597338794213052,0.13088367798134531
7,FCC177,76.95306253618203,3587609987.3996363,2.144967340554177e-08,6.942696557356774e-09,5.935363099189795e-09,1055459939.0374107,815533403.2405005,-7.668579316031744,0.14047441417519965,0.12009262501791029
8,FCC182,18.350021459085674,867006917.2590511,2.116479245297983e-08,8.733323733958836e-09,1.0429319931702095e-08,255069829.56598997,197087505.14930642,-7.674385985964719,0.17908337674270444,0.21386105535475922
9,FCC184,112.98428458224171,6865322875.292018,1.645724267228086e-08,5.263973556783736e-09,4.436736082542613e-09,2019749440.1223745,1560621179.1404953,-7.783642926871289,0.13881818292028117,0.11700279920321713
10,FCC190,47.01774174958494,2851253142.0914993,1.6490202520248936e-08,5.887620474153234e-09,5.7074929182617146e-09,838826817.3245416,648145196.0042801,-7.78277401064496,0.15495426952124114,0.15021355398661232
11,FCC193,224.17891534031912,7879918408.689476,2.8449395503018e-08,6.871673218624782e-09,5.915183346352707e-09,1769957323.4785042,1445315948.409585,-7.545926957124542,0.10482845502171682,0.09023705168163378
12,FCC219,322.0672511849077,25897399643.726257,1.243627760376049e-08,3.15973374324804e-09,2.838910247773836e-09,5816975478.821762,4750039630.631149,-7.905309592158298,0.1102680792647301,0.09907201228455093
13,FCC249,65.25873977955477,4534433404.382576,1.4391817887650867e-08,4.937537299663156e-09,5.484940355345582e-09,1121744070.676754,899277614.1967525,-7.841884345138374,0.1488964913801857,0.16540399085111954
14,FCC255,64.41051482924134,2013499660.0,3.198933484261991e-08,1.062779722528875e-08,9.382414044505257e-09,592363227.0,457707565.0,-7.4949947901498115,0.1441875555858716,0.12729141494652566
15,FCC276,157.02090357523258,10194956448.916866,1.5401821906940544e-08,3.9132011955202905e-09,3.5158743990065924e-09,2289952369.2284336,1869934735.962741,-7.812427902713525,0.11026807926473202,0.09907201228454976
16,FCC277,58.03832996956707,1887654442.2098055,3.074626831679203e-08,1.0703718133128081e-08,1.003388023239164e-08,555340086.9927282,429100503.3446317,-7.512207587133143,0.15108869869715216,0.14163357894329104
17,FCC301,35.69152233841788,378196843.5131265,9.437287209188222e-08,2.9216346619913288e-08,2.895852855109236e-08,93559664.22386575,75004730.42618895,-7.025152827671865,0.1343595267578284,0.1331738783888846
18,FCC310,82.53835072589885,2258385072.4720964,3.654750986976277e-08,1.1965546413693234e-08,1.0373092809206985e-08,664407496.7140164,513374773.30295753,-7.437142207944484,0.14209031373268147,0.12318000036769819
